Expression,Audio,Vietnamese definition,Reading,Grammar,Additional definitions
dT1cfJ9,N/A,màn hình,画面[がめん],N/A,N/A
LUrt02T,N/A,tỷ lệ,比率[ひりつ],N/A,N/A
61re28qk2q,N/A,vấn đề,問題[もんだい],N/A,N/A
Mf26vIeKCA,N/A,Vấn đề về tỷ lệ màn hình,画面[がめん]比率[ひりつ]の[ ]問題[もんだい],N/A,N/A
hSAn2ZZ,N/A,toàn màn hình,全画面[ぜんがめん],N/A,N/A
rN53M99,N/A,"hiển thị, trưng bày",表示[ひょうじ],N/A,N/A
1ZilZxV,N/A,chế độ (mode),モード,N/A,N/A
5FNGej0,N/A,"thực thi, thực hiện",実行する[じっこうする],N/A,N/A
80vh0Gwi83,N/A," sự việc, việc",こと ,N/A,N/A
9xbRMmrz8h,N/A,sự cho phép,許可[きょか],N/A,N/A
zz6x9D1,N/A,"trường hợp, tình huống",場合[ばあい],N/A,N/A
6J4GUGL,N/A,"một cách đúng, chính xác",正しく[ただしく],N/A,"(trạng từ của 正しい - đúng, chính xác)"
t18D4kA,N/A,trong trường hợp không hiển thị đúng cách.,正[ただ]しく[  ]表示[ひょうじ]されない[    ]場合[ばあい],N/A,N/A
OWWfL3g1U4,N/A,cài đặt,設定[せってい],N/A,N/A
w373RA3,N/A,thay đổi,変更[へんこう]する[  ],N/A,N/A
R59V5C8,N/A,"sự di chuyển, đi tới",移動[いどう],N/A,設定に移動: Đi tới cài đặt
X1fM21A,N/A,"lần nữa, một lần nữa, lại",再度[さいど],N/A,"再度表示しない: ""không hiển thị lại"" hoặc ""không hiển thị lần nữa."""
