Expression,Audio,Vietnamese definition,Reading,Grammar,Additional definitions
N/A,N/A,có [con],います,N/A,N/A
N/A,N/A,ở [Nhật],います,N/A,N/A
N/A,N/A,"mất, tốn (thời gian, tiền bạc)",かかります,N/A,N/A
N/A,N/A,nghỉ [làm việc],休[やす]みます,N/A,N/A
N/A,N/A,một cái (dùng để đếm đồ vật),一つ[ひとつ],N/A,N/A
N/A,N/A,hai cái,二つ[ふたつ],N/A,N/A
N/A,N/A,ba cái,三つ[みっつ],N/A,N/A
N/A,N/A,bốn cái,四つ[よっつ],N/A,N/A
N/A,N/A,năm cái,五つ[いつつ],N/A,N/A
N/A,N/A,sáu cái,六つ[むっつ],N/A,N/A
N/A,N/A,bảy cái,七つ[ななつ],N/A,N/A
N/A,N/A,tám cái,八つ[やっつ],N/A,N/A
N/A,N/A,chín cái,九つ[ここのつ],N/A,N/A
N/A,N/A,mười cái,とお,N/A,N/A
N/A,N/A,"mấy cái, bao nhiêu cái",いくつ,N/A,N/A
N/A,N/A,một người,一人[ひとつ],N/A,N/A
N/A,N/A,hai người,二人[ふたり],N/A,N/A
N/A,N/A,~ người,～人[にん],N/A,N/A
N/A,N/A,"~ cái, chiếc (dùng để đếm máy móc, xe cộ, .v.v)",～台[だい],N/A,N/A
N/A,N/A,"~ tờ, tấm (dùng để đếm những vật mỏng nhẹ như tờ giấy, con tem, v.v.)",～枚[まい],N/A,N/A
N/A,N/A,~ lần,～回[かい],N/A,N/A
N/A,N/A,quả táo,りんご,N/A,N/A
N/A,N/A,quả quýt,みかん,N/A,N/A
N/A,N/A,bánh san-uých,サンドイッチ,N/A,N/A
N/A,N/A,món [cơm] cà-ri,カレー（ライス）,N/A,N/A
N/A,N/A,kem,アイスクリーム,N/A,N/A
N/A,N/A,tem,切手[きって],N/A,N/A
N/A,N/A,bưu thiếp,はがき,N/A,N/A
N/A,N/A,phong bì,封筒[ふうとう],N/A,N/A
N/A,N/A,bố mẹ,両親[りょうしん],N/A,N/A
N/A,N/A,anh chị em,兄弟[きょうだい],N/A,N/A
N/A,N/A,and trai (mình),兄[あに],N/A,N/A
N/A,N/A,anh trai (của người khác),お兄さん[おにいさん],N/A,N/A
N/A,N/A,chị gái (mình),姉[あね],N/A,N/A
N/A,N/A,chị gái (của người khác),お姉さん[おねえさん],N/A,N/A
N/A,N/A,em trai (mình),弟[おとうと],N/A,N/A
N/A,N/A,em trai (của người khác),弟さん[おとうとさん],N/A,N/A
N/A,N/A,em gái (mình),妹[いもうと],N/A,N/A
N/A,N/A,em gái (của người khác),妹さん[いもうとさん],N/A,N/A
N/A,N/A,nước ngoài,外国[がいこく],N/A,N/A
N/A,N/A,"lưu học sinh, sinh viên người nước ngoài",留学生[りゅうがくせい],N/A,N/A
N/A,N/A,lớp học,クラス,N/A,N/A
N/A,N/A,~ tiếng,～時間[じかん],N/A,N/A
N/A,N/A,~ tuần,～週間[しゅうかん],N/A,N/A
N/A,N/A,~ tháng,～か月[かげつ],N/A,N/A
N/A,N/A,~ năm,～年[ねん],N/A,N/A
N/A,N/A,khoảng ~,～ぐらい,N/A,N/A
N/A,N/A,bao lâu,どのくらい,N/A,N/A
N/A,N/A,tổng cộng,全部で[ぜんぶで],N/A,N/A
N/A,N/A,tất cả,みんな,N/A,N/A
N/A,N/A,chỉ ~,～だけ,N/A,N/A
N/A,N/A,Tôi đã rõ rồi ạ (thưa ông/bà),かしこまりました,N/A,N/A
N/A,N/A,Trời đẹp nhỉ,いい　「お」天気[てんき]ですね,N/A,N/A
N/A,N/A,Anh/Chị đi ra ngoài đấy à?,お出[で]かけですか,N/A,N/A
N/A,N/A,Tôi đi ~ một chút,ちょっと　～まで,N/A,N/A
N/A,N/A,Anh/Chị đi nhé. (nguyên nghĩa: Anh/Chị đi rồi lại về nhé),行[い]ってらっしゃい,N/A,N/A
N/A,N/A,Tôi đi đây (nguyên nghĩa: Tôi đi rồi sẽ về),行[い]ってきます,N/A,N/A
N/A,N/A,(gửi) bằng đường biển,船便[ふなびん],N/A,N/A
N/A,N/A,(gửi) bằng đường hàng không,航空便[こうくうびん]　（エアメール）,N/A,N/A
N/A,N/A,Nhờ anh/chị,お願[ねが]いします,N/A,N/A
N/A,N/A,Úc,オーストラリア,N/A,N/A
