Expression,Audio,Vietnamese definition,Reading,Grammar,Additional definitions
N/A 1,N/A,"đơn giản, dễ",簡単[かんたん]「な」,N/A,N/A
N/A 2,N/A,gần,近い[ちかい],N/A,N/A
N/A 3,N/A,xa,遠い[とおい],N/A,N/A
N/A 4,N/A,"nhanh, sớm",速い[はやい],N/A,N/A
N/A 5,N/A,"nhanh, sớm",早い[はやい],N/A,N/A
N/A 6,N/A,"chậm, muộn",遅い[おそい],N/A,N/A
N/A 7,N/A,nhiều [người]　（人が～）,多い[おおい],N/A,N/A
N/A 8,N/A,ít [người]　（人が～）,少ない[すくない],N/A,N/A
N/A 9,N/A,ấm,暖かい[あたたかい],N/A,N/A
N/A 10,N/A,ấm,温かい[あたたかい],N/A,N/A
N/A 11,N/A,mát,涼しい[すずしい],N/A,N/A
N/A 12,N/A,ngọt,甘い[あまい],N/A,N/A
N/A 13,N/A,cay,辛い[からい],N/A,N/A
N/A 14,N/A,nặng,重い[おもい],N/A,N/A
N/A 15,N/A,nhẹ,軽い[かるい],N/A,N/A
N/A 16,N/A,"thích, chọn, dùng [cà phê]",いい,N/A,N/A
N/A 17,N/A,mùa,季節[きせつ],N/A,N/A
N/A 18,N/A,mùa xuân,春[はる],N/A,N/A
N/A 19,N/A,mùa hè,夏[なつ],N/A,N/A
N/A 20,N/A,mùa thu,秋[あき],N/A,N/A
N/A 21,N/A,mùa đông,冬[ふゆ],N/A,N/A
N/A 22,N/A,thời tiết,天気[てんき],N/A,N/A
N/A 23,N/A,mưa,雨[あめ],N/A,N/A
N/A 24,N/A,tuyết,雪[ゆき],N/A,N/A
N/A 25,N/A,có mây,曇り[くもり],N/A,N/A
N/A 26,N/A,khách sạn,ホテル,N/A,N/A
N/A 27,N/A,sân bay,空港[くうこう],N/A,N/A
N/A 28,N/A,"biển, đại dương",海[うみ],N/A,N/A
N/A 29,N/A,thế giới,世界[せかい],N/A,N/A
N/A 30,N/A,tiệc　（～を　します: tổ chức tiệc),パーティー,N/A,N/A
N/A 31,N/A,lễ hội,「お」祭り[まつり],N/A,N/A
N/A 32,N/A,"sukiyaki (món lẩu t hị bò, rau)",すき焼き[すきやき],N/A,N/A
N/A 33,N/A,sashimi (món gỏi cá sống),刺身[さしみ],N/A,N/A
N/A 34,N/A,sushi (món cơm trộn giấm có cá tươi ở trên),「お」すし,N/A,N/A
N/A 35,N/A,Tempura (món hải sản và rau chiên tẩm bột),てんぷら,N/A,N/A
N/A 36,N/A,"thịt heo, thịt lợn",豚肉[ぶたにく],N/A,N/A
N/A 37,N/A,thịt gà,鶏肉[とりにく],N/A,N/A
N/A 38,N/A,thịt bò,牛肉[ぎゅうにく],N/A,N/A
N/A 39,N/A,chanh,レモン,N/A,N/A
N/A 40,N/A,nghệ thuật cắm hoa (～を　します: cắm hoa),生け花[いけばな],N/A,N/A
N/A 41,N/A,"cây lá đỏ, lá đỏ",紅葉[もみじ],N/A,N/A
N/A 42,N/A,cái nào (trong hai cái),どちら,N/A,N/A
N/A 43,N/A,cả hai,どちらも,N/A,N/A
N/A 44,N/A,nhất,いちばん,N/A,N/A
N/A 45,N/A,"(hơn) hẳn, suốt",ずっと,N/A,N/A
N/A 46,N/A,lần đầu tiên,初めて[はじめて],N/A,N/A
N/A 47,N/A,Tôi đã về đây (dùng để nói khi về đến nhà),ただいま,N/A,N/A
N/A 48,N/A,Anh/Chị đã về đấy à. (dùng để nói với ai đó mới lại về nhé),お帰[え]りなさい,N/A,N/A
N/A 49,N/A,"Ôi, (người) đông quá nhỉ~",わあ、すごい　人[ひと]ですね,N/A,N/A
N/A 50,N/A,Tôi mệt rồi,疲[つか]れました,N/A,N/A
N/A 51,N/A,Lễ hội Gi-ôn (lễ hội nổi tiếng nhất ở Tokyo),祇園祭[ぎおんまつり],N/A,N/A
N/A 52,N/A,Hồng Koong (香港),ホンコン,N/A,N/A
N/A 53,N/A,Singapore,シンガポール,N/A,N/A
