Expression,Audio,Vietnamese definition,Reading,Grammar,Additional definitions
N/A 55,N/A,chơi,遊[あそ]びます,N/A,N/A
N/A 56,N/A,bơi,泳[およ]ぎます,N/A,N/A
N/A 57,N/A,đón,迎[むか]えます,N/A,N/A
N/A 58,N/A,mệt (khi nói trạng thái đã mệt rồi thì dùng つかれました),疲[つか]れます,N/A,N/A
N/A 59,N/A,"kết hôn, lập gia đình, cưới",結婚[けっこん]します,N/A,N/A
N/A 60,N/A,"mua sắm, mua hàng",買い物します[かいものします],N/A,N/A
N/A 61,N/A,"ăn cơm, dùng bữa",食事します[しょくじします],N/A,N/A
N/A 62,N/A,đi dạo [ở công viên],散歩します[さんぽします],N/A,公園を～
N/A 63,N/A,"vất vả, khó khăn, khổ",大変(な)[たいへん],N/A,N/A
N/A 64,N/A,muốn có,欲しい[ほしい],N/A,N/A
N/A 65,N/A,rộng,広い[ひろい],N/A,N/A
N/A 66,N/A,"chật, hẹp",狭い[せまい],N/A,N/A
N/A 67,N/A,bể bơi,プール,N/A,N/A
N/A 68,N/A,sông,川[かわ],N/A,N/A
N/A 69,N/A,mỹ thuật,美術[びじゅつ],N/A,N/A
N/A 70,N/A,việc câu cá (~を　します: câu cá),釣り[つり],N/A,N/A
N/A 71,N/A,việc trượt tuyết (~を　します: trượt tuyết),スキー,N/A,N/A
N/A 72,N/A,cuối tuần,週末[しゅうまつ],N/A,N/A
N/A 73,N/A,Tết,(お)正月[しょうがつ],N/A,N/A
N/A 74,N/A,Khoảng ~ (dùng cho thời gian),~ごろ,N/A,N/A
N/A 75,N/A,cái gì đó,何か[なにか],N/A,N/A
N/A 76,N/A,"đâu đó, chỗ nào đó",どこか,N/A,N/A
N/A 77,N/A,khát (khi nói trạng thái đang khát thì dùng のどが　かわきました）,のどがかわきます,N/A,N/A
N/A 78,N/A,đói (khi nói trạng thái đang đói thì dùng おなかが　すきました）,おなかがすきます,N/A,N/A
N/A 79,N/A,Nhất trí./Hãy làm vậy đi. (nói khi đòng ý với đề xuất của ai),そうしましょう。,N/A,N/A
N/A 80,N/A,Anh/Chị dùng món gì ạ?,ご注文は?[ごちゅうもんは?],N/A,N/A
N/A 81,N/A,"Cơm suất, cơm phần",定食[ていしょく],N/A,N/A
N/A 82,N/A,món cơm với thị bò ở trên,牛[ぎゅう]どん,N/A,N/A
N/A 83,N/A,Xin anh/chị vui lòng đợi [một chút],（少々[しょうしょう]） お待[ま]ちください。,N/A,N/A
N/A 84,N/A,(cách nói lịch sự của です）,～でございます。,N/A,N/A
N/A 85,N/A,"riêng, riêng ra",別々に[べつべつ],N/A,N/A
