Expression,Audio,Vietnamese definition,Reading,Grammar,Additional definitions
N/A 87,N/A,bật ,つけます II,N/A,N/A
N/A 88,N/A,tắt,消します[けしますⅠ],N/A,N/A
N/A 89,N/A,mở,開けます[あけます II],N/A,N/A
N/A 90,N/A,"đóng (cửa, cửa sổ)",閉めます[しめます II],N/A,N/A
N/A 91,N/A,"vội, gấp",急ぎます[いそぎますⅠ],N/A,N/A
N/A 92,N/A,"đợi, chờ",待ちます[まちますⅠ],N/A,N/A
N/A 93,N/A,"mang, cầm",持ちます[もちますⅠ],N/A,N/A
N/A 94,N/A,"lấy, chuyển",取ります[とりますⅠ],N/A,N/A
N/A 95,N/A,giúp (làm việc gì),手伝います[てつだいますⅠ],N/A,N/A
N/A 96,N/A,gọi,呼びます[よびますⅠ],N/A,N/A
N/A 97,N/A,"nói, nói chuyện",話します[はなしますⅠ],N/A,N/A
N/A 98,N/A,"dùng, sử dụng",使います[つかいますⅠ],N/A,N/A
N/A 99,N/A,"dừng, đỗ",止めます[とめますⅡ],N/A,N/A
N/A 100,N/A,"cho xem, trình",見せます[みせますⅡ],N/A,N/A
N/A 101,N/A,"nói, cho biết [địa chỉ]",教えます[おしえますⅡ],N/A,住所を~ [じゅうしょを〜]
N/A 102,N/A,ngồi,座ります[すわりますⅠ],N/A,N/A
N/A 103,N/A,đứng,立ちます[たちますⅠ*],N/A,N/A
N/A 104,N/A,vào [quán giải khát],入ります[はいりますⅠ],N/A,喫茶店に~ [きっさてんに~]
N/A 105,N/A,"ra, ra khỏi [quán giải khát]",出ます[でますⅡ*],N/A,喫茶店に~ [きっさてんに~]
N/A 106,N/A,mưa,降ります[ふりますⅠ],N/A,雨が~ [あめが~]
N/A 107,N/A,"copy, photo",コピーしますⅢ,N/A,N/A
N/A 108,N/A,"điện, đèn điện",電気[でんき],N/A,N/A
N/A 109,N/A,máy điều hòa (nhiệt độ),エアコン,N/A,N/A
N/A 110,N/A,hộ chiếu,パスポート,N/A,N/A
N/A 111,N/A,tên,名前[なまえ],N/A,N/A
N/A 112,N/A,địa chỉ,住所[じゅうしょ],N/A,N/A
N/A 113,N/A,bản đồ,地図[ちず],N/A,N/A
N/A 114,N/A,muối,塩[しお],N/A,N/A
N/A 115,N/A,đường,砂糖[さとう],N/A,N/A
N/A 116,N/A,"câu hỏi, vấn đề",問題[もんだい],N/A,N/A
N/A 117,N/A,câu trả lời,答え[こたえ],N/A,N/A
N/A 118,N/A,cách đọc,読み方[よみかた],N/A,N/A
N/A 119,N/A,cách ~,~方 [かた],N/A,N/A
N/A 120,N/A,thẳng,まっすぐ,N/A,N/A
N/A 121,N/A,"chậm, thong thả, thoải mái",ゆっくり,N/A,N/A
N/A 122,N/A,"ngay, lập tức",すぐ,N/A,N/A
N/A 123,N/A,lại,また,N/A,N/A
N/A 124,N/A,sau,あとで,N/A,N/A
N/A 125,N/A,thêm một chút nữa,もう少し[もうすこし],N/A,N/A
N/A 126,N/A,thêm ~,もう~,N/A,N/A
N/A 127,N/A,thôi/nào(dùng để thúc giục hoặc khuyến khích ai đó làm gì),さあ,N/A,N/A
N/A 128,N/A,"Ô! (câu cảm thán khi phát hiện hoặc thấy cái gì đó lạ, hoặc bất ngờ)",あれ?,N/A,N/A
N/A 129,N/A,Anh/Chị hãy rẽ phải ỏ chỗ đèn tín hiệu.,信号[しんごう]を右[みぎ]へ曲[ま]がってください。,N/A,N/A
N/A 130,N/A,Gửi anh tiền này.,これでお願[ねが]いします。,N/A,N/A
N/A 131,N/A,"tiền thừa, tiền thối lại",お釣[つ]り,N/A,N/A
