Expression,Audio,Vietnamese definition,Reading,Grammar,Additional definitions
N/A 133,N/A,"đặt, để",置きます[おきます1],N/A,N/A
N/A 134,N/A,"làm, chế tạo, sản xuất",作ります[つくります1],N/A,N/A
N/A 135,N/A,"làm, chế tạo, sản xuất",造ります[つくります1],N/A,N/A
N/A 136,N/A,bán,売ります[うりますⅠ],N/A,N/A
N/A 137,N/A,biết,知ります[しりますⅠ],N/A,N/A
N/A 138,N/A,"sống, ở",住みます[すみますⅠ],N/A,N/A
N/A 139,N/A,nghiên cứu,研究します[けんきゅうしますⅢ],N/A,N/A
N/A 140,N/A,"tài liệu, tư liệu",資料[しりょう],N/A,N/A
N/A 141,N/A,ca-ta-lô,カタログ,N/A,N/A
N/A 142,N/A,bảng giờ chạy tàu,時刻表[じこくひょう],N/A,N/A
N/A 143,N/A,quần áo,服[ふく],N/A,N/A
N/A 144,N/A,sản phẩm,製品[せいひん],N/A,N/A
N/A 145,N/A,phần mềm,ソフト,N/A,N/A
N/A 146,N/A,kim từ điển,電子辞書[でんしじしょ],N/A,N/A
N/A 147,N/A,kinh tế,経済[けいざい],N/A,N/A
N/A 148,N/A,tòa thị chính,市役所[しやくしょ],N/A,N/A
N/A 149,N/A,"trường trung học phổ thông, trường cấp 3",高校[こうこう],N/A,N/A
N/A 150,N/A,nha sĩ,歯医者[はいしゃ],N/A,N/A
N/A 151,N/A,độc thân,独身[どくしん],N/A,N/A
N/A 152,N/A,xin lỗi,すみません,N/A,N/A
N/A 153,N/A,"các anh chị, các ông bà, các bạn, quý vị",皆さん[みなさん],N/A,N/A
N/A 154,N/A,"nhớ lại, hồi tưởng lại",思い出しますⅠ[おもいだします],N/A,N/A
N/A 155,N/A,(kính ngữ củaいます),いらっしゃいますⅠ,N/A,N/A
