Expression,Audio,Vietnamese definition,Reading,Grammar,Additional definitions
N/A 157,N/A,"đi, lên [tàu]",乗ります[のりますⅠ],N/A,電車に~ [でんしゃに~]
N/A 158,N/A,xuống [tàu],降ります[おります II],N/A,電車に~ [でんしゃに~]
N/A 159,N/A,"chuyển, đổi (tàu)",乗り換えます[のりかえます II],N/A,N/A
N/A 160,N/A,tắm [vòi hoa sen],浴びます[あびますⅡ],N/A,シャワーを~
N/A 161,N/A,"cho vào, bỏ vào",入れます[いれます II],N/A,N/A
N/A 162,N/A,"lấy ra, đưa ra, gửi",出します[だしますⅠ],N/A,N/A
N/A 163,N/A,rút [tiền],下ろします[おろしますⅠ],N/A,お金を~
N/A 164,N/A,vào [đại học],入ります[はいります I],N/A,大学に~
N/A 165,N/A,"ra, tốt nghiệp [đại học]",出ます[でますⅡ],N/A,大学に~
N/A 166,N/A,"bấm, ấn",押します[おします I],N/A,N/A
N/A 167,N/A,"uống (bia, rượu)",飲みます[のみます I],N/A,N/A
N/A 168,N/A,bắt đầu,始めます[はじめますⅡ],N/A,N/A
N/A 169,N/A,tham quan kiến tập,見学します[けんがくしますⅢ],N/A,N/A
N/A 170,N/A,gọi điện thoại,電話します[でんわしますⅢ],N/A,N/A
N/A 171,N/A,trẻ,若い[わかい],N/A,N/A
N/A 172,N/A,dài,長い[ながい],N/A,N/A
N/A 173,N/A,ngắn,短い[みじかい],N/A,N/A
N/A 174,N/A,sáng,明るい[あかるい],N/A,N/A
N/A 175,N/A,tối,暗い[くらい],N/A,N/A
N/A 176,N/A,"người, cơ thể",体[からだ*],N/A,N/A
N/A 177,N/A,đầu,頭[あたま],N/A,N/A
N/A 178,N/A,tóc,髮[かみ],N/A,N/A
N/A 179,N/A,mặt,顏[かお*],N/A,N/A
N/A 180,N/A,mắt,目[め],N/A,N/A
N/A 181,N/A,tai,耳[みみ*],N/A,N/A
N/A 182,N/A,mũi,鼻[はな*],N/A,N/A
N/A 183,N/A,miệng,口[くち*],N/A,N/A
N/A 184,N/A,răng,歯[は*],N/A,N/A
N/A 185,N/A,bụng,おなか*,N/A,N/A
N/A 186,N/A,chân,足[あし*],N/A,N/A
N/A 187,N/A,chiều cao (cơ thể),背[せ],N/A,N/A
N/A 188,N/A,dịch vụ,サービス,N/A,N/A
N/A 189,N/A,việc chạy bộ (~をします: chạy bộ),ジョギング,N/A,N/A
N/A 190,N/A,vòi hoa sen,シャワー,N/A,N/A
N/A 191,N/A,"màu xanh lá cây, cây xanh",緑[みどり],N/A,N/A
N/A 192,N/A,chùa,(お) 寺[てら],N/A,N/A
N/A 193,N/A,đền thờ đạo Thần,神社[じんじゃ],N/A,N/A
N/A 194,N/A,số ~,~番[~ばん],N/A,N/A
N/A 195,N/A,làm thế nào ~,どうやって,N/A,N/A
N/A 196,N/A,~ nào (dùng đối với trường hợp từ ba thứ trở lên),どの~,N/A,N/A
N/A 197,N/A,cái nào (dùng trong trường hợp ba cái hoặc nhiều hơn),どれ,N/A,N/A
N/A 198,N/A,Thật là tuyệt vời!/Kinh quá nhỉ!,すごいですね。,N/A,N/A
N/A 199,N/A,"(Không), tôi còn phải cố gắng nhiều lắm. (cách nói khiêm nhường khi được ai đó khen)",(いいえ、)まだまだです。,N/A,N/A
N/A 200,N/A,Anh/Chị rút tiền ạ?,お引[ひ]き出[だ]しですか。,N/A,N/A
N/A 201,N/A,"trước hết, đầu tiền",まず,N/A,N/A
N/A 202,N/A,"tiếp theo, sau đó",次に[つぎに],N/A,N/A
N/A 203,N/A,"thẻ rút tiền mặt, thẻ ATM",キャッシュカード,N/A,N/A
N/A 204,N/A,mã số bí mật (mật khẩu),暗証番号[あんしょうばんごう],N/A,N/A
N/A 205,N/A,"số tiền, khoản tiền",金額[きんがく],N/A,N/A
N/A 206,N/A,"sự xác nhận, sự kiểm tra lại (~します: xác nhận)",確認[かくにん],N/A,N/A
N/A 207,N/A,nút,ボタン,N/A,N/A
